Op,dmsTimestamp,customer_id,first_name,last_name,email,country,signup_date,last_purchase_date,total_spent
I,2025-09-04 15:40:37,C2763,Joseph,Roberson,joseph.roberson@example.com,Turks and Caicos Islands,2022-12-28,2025-10-17,6804.4
I,2025-04-30 11:01:07,C7895,Beth,Hawkins,beth.hawkins@example.com,Mayotte,2024-10-02,2025-03-04,766.68
I,2025-02-02 13:36:15,C4607,Cynthia,Luna,cynthia.luna@example.com,Nicaragua,2024-04-22,2024-11-03,8177.58
I,2025-10-17 07:53:45,C9879,Kristine,Becker,kristine.becker@example.com,Norfolk Island,2023-05-06,2024-11-28,7417.05
I,2024-12-28 20:15:17,C8362,Margaret,Harrison,margaret.harrison@example.com,Tunisia,2024-07-13,2025-04-29,378.96
I,2025-10-10 20:13:45,C8851,Carol,Day,carol.day@example.com,Comoros,2024-03-19,2025-08-26,8606.44
I,2025-10-10 11:35:31,C5549,Jason,Wade,jason.wade@example.com,Gambia,2023-09-18,2025-06-23,5975.88
I,2025-07-13 19:44:50,C3006,Dale,Sanchez,dale.sanchez@example.com,Armenia,2023-10-17,2025-07-10,6295.74
I,2025-10-03 01:52:24,C7564,Scott,Pollard,scott.pollard@example.com,Tunisia,2024-02-15,2025-01-22,5952.17
I,2025-01-07 03:11:50,C6691,Tiffany,Mcmillan,tiffany.mcmillan@example.com,Sri Lanka,2023-08-14,2024-12-05,6462.76
I,2025-04-23 01:24:44,C5340,Jesse,Andersen,jesse.andersen@example.com,Latvia,2023-01-23,2025-08-30,7761.58
I,2025-02-22 09:32:47,C5691,Michael,Blankenship,michael.blankenship@example.com,Switzerland,2024-08-28,2024-10-23,3801.56
I,2024-12-31 16:17:19,C9403,Mary,Le,mary.le@example.com,Kiribati,2023-09-29,2024-12-09,5223.94
I,2025-05-30 16:22:26,C6582,Tammy,Gonzalez,tammy.gonzalez@example.com,Trinidad and Tobago,2024-02-16,2025-03-02,5968.55
I,2025-06-22 11:10:53,C8424,Whitney,Pace,whitney.pace@example.com,Belarus,2023-06-30,2025-03-01,2627.29
I,2024-11-24 02:14:15,C3298,Jerry,Jenkins,jerry.jenkins@example.com,Botswana,2023-02-26,2025-06-14,4493.34
I,2024-11-12 21:11:30,C4916,Mitchell,Rodriguez,mitchell.rodriguez@example.com,Trinidad and Tobago,2023-11-06,2025-01-29,2987.71
I,2025-02-25 00:05:01,C4841,Christopher,Clark,christopher.clark@example.com,Yemen,2023-05-14,2024-10-25,9254.55
I,2025-05-02 04:21:21,C1552,Crystal,Rivers,crystal.rivers@example.com,Hong Kong,2023-12-17,2025-04-15,9359.56
I,2025-07-28 00:40:40,C1520,Daniel,Lane,daniel.lane@example.com,Azerbaijan,2023-12-23,2025-01-22,1753.01
I,2025-04-02 09:15:25,C9304,Austin,Dawson,austin.dawson@example.com,Cocos (Keeling) Islands,2023-06-21,2025-04-21,7879.53
I,2025-01-26 05:17:32,C5539,Cathy,Moore,cathy.moore@example.com,Mauritania,2024-05-21,2024-12-03,3213.59
I,2025-04-12 12:22:37,C8700,Cindy,Watson,cindy.watson@example.com,Tanzania,2024-07-12,2024-11-08,5479.66
I,2024-11-26 04:09:30,C3262,Paul,Jones,paul.jones@example.com,Seychelles,2024-04-27,2025-08-15,7051.56
I,2025-04-22 06:13:22,C8164,Elaine,Mccullough,elaine.mccullough@example.com,Iran,2023-04-23,2025-09-10,350.88
I,2025-02-21 18:14:59,C2091,John,Clark,john.clark@example.com,Spain,2023-10-18,2025-01-27,6659.69
I,2025-04-10 13:19:26,C2829,Tiffany,Sharp,tiffany.sharp@example.com,Bolivia,2023-12-05,2025-08-15,3836.62
I,2024-10-27 23:17:43,C9553,Timothy,Harris,timothy.harris@example.com,Angola,2024-08-01,2024-12-11,2836.62
I,2025-05-26 22:58:53,C4683,David,Allen,david.allen@example.com,Peru,2023-03-24,2025-04-09,6980.45
I,2025-09-26 00:31:27,C2831,Cindy,Cuevas,cindy.cuevas@example.com,Guinea,2023-06-15,2024-11-13,8288.75
I,2025-09-02 01:58:41,C7222,Kimberly,Mitchell,kimberly.mitchell@example.com,Hungary,2023-05-29,2025-10-02,7390.3
I,2025-01-04 02:28:20,C8912,Pamela,Coleman,pamela.coleman@example.com,Turks and Caicos Islands,2024-03-10,2025-10-03,3694.84
I,2025-07-09 13:19:57,C1089,Michael,Brewer,michael.brewer@example.com,Papua New Guinea,2023-01-28,2025-07-29,760.66
I,2024-12-17 06:12:07,C3966,Christopher,Caldwell,christopher.caldwell@example.com,Cape Verde,2024-08-22,2024-11-28,4245.17
I,2025-06-18 08:25:12,C1653,Tammy,Cohen,tammy.cohen@example.com,Somalia,2024-05-28,2025-09-24,1972.07
I,2025-02-14 07:50:44,C1572,Anna,Lopez,anna.lopez@example.com,Georgia,2024-01-11,2024-11-27,4994.12
I,2025-05-04 18:52:06,C9187,Lisa,Bailey,lisa.bailey@example.com,Niue,2023-06-17,2025-09-16,5692.59
I,2024-11-20 14:17:22,C6724,Christopher,French,christopher.french@example.com,Belize,2022-10-26,2025-02-15,7739.57
I,2025-02-17 20:30:39,C1076,Seth,Young,seth.young@example.com,Guernsey,2023-12-28,2024-10-26,795.49
I,2025-09-10 07:49:25,C6570,Robert,Reyes,robert.reyes@example.com,Sudan,2024-05-28,2025-10-16,1508.97
I,2025-10-20 00:30:54,C9186,Megan,Contreras,megan.contreras@example.com,Norfolk Island,2023-02-17,2025-04-08,5048.95
I,2024-11-12 08:25:42,C1362,Ricky,Davenport,ricky.davenport@example.com,Guinea,2024-08-14,2025-01-28,5932.68
I,2025-07-13 03:18:25,C4907,Charles,Young,charles.young@example.com,Belgium,2023-01-05,2024-12-24,446.36
I,2025-06-10 12:42:14,C7198,James,Ramirez,james.ramirez@example.com,Canada,2024-06-15,2025-10-05,3794.08
I,2025-09-09 01:50:04,C1172,James,Rodriguez,james.rodriguez@example.com,Macao,2023-05-18,2025-03-22,9407.5
I,2024-11-01 07:07:14,C9737,Anthony,Lopez,anthony.lopez@example.com,Argentina,2022-12-12,2024-10-26,1163.96
I,2025-03-20 19:56:06,C4100,Sandy,Norton,sandy.norton@example.com,Oman,2024-03-08,2025-02-13,6989.46
I,2025-06-05 15:45:17,C7672,Andrew,Figueroa,andrew.figueroa@example.com,Turks and Caicos Islands,2024-05-15,2025-10-12,8481.24
I,2025-02-01 03:20:21,C6290,Michelle,Wilson,michelle.wilson@example.com,Andorra,2023-12-19,2025-06-02,8325.82
I,2025-08-27 17:55:11,C5302,Jennifer,Rivera,jennifer.rivera@example.com,Vietnam,2023-07-29,2025-10-09,1881.66
I,2025-03-14 00:38:41,C2515,Mckenzie,Mason,mckenzie.mason@example.com,Saint Martin,2022-10-24,2024-11-27,8579.23
I,2025-06-17 16:30:48,C3144,Amanda,Adams,amanda.adams@example.com,Morocco,2023-01-30,2025-08-02,8697.59
I,2025-05-19 13:13:05,C3772,Betty,Barrera,betty.barrera@example.com,Namibia,2024-06-26,2025-07-07,5102.59
I,2025-07-17 13:39:22,C1898,Paul,Warren,paul.warren@example.com,Slovakia (Slovak Republic),2023-04-18,2025-06-21,366.33
